Name,Rating,Title,Review
Akash Kumar,5,Highly recommended,Awesome phone outgoing Camera log day battery life PowerPack Performance good display but now in 2022 we are expect 120Hz display it's disappointing but overall Very good SmartPhone definitely you should buy it READ MORE
nuthan prasad,5,Stylish and Sophisticated,This is a classy and brilliant product. You will enjoy the  below mentioned features  : - OLED display clarity while watching videos - cameras are mind blowing and Video recording quality is best in the world. - built quality - speaker effect - form factor - fun to hold and operate in one hand. - signal connectivity - using Airtel and Jio as dual sim. The calls are very clear and signal reception is amazing - Battery backup is brilliant - almost 7 to 8 hours screen on time despite usi... READ MORE
Adarsh Verma,5,Highly recommended,Camera is awesome 😍 READ MORE
Neeraj Kumar,5,Perfect product!,"I am an Android lover using 108MP camera phone but gifted this one to wife and uses it occassionally. Sharing my comparative experience Pros: 1. Camera - it is the best in the market, even I used Xperia but the enhancements it did after the capture using AI is unmatched 2. Size - it the most standard size for a phone what it should be when you hold in the hand. Not too bulky not too small 3. Design - it looks amazing with new flat edges and as always the premium look 4. Battery - better than... READ MORE"
Lalit Phalswal,5,Best in the market!,"This is My first I Phone  yet i am using an android. But my experience of using an iPhone is awesome the camera quality, Display touch and response time. But there is only 1 Bad things about this is it is little bit expensive 😂😂😂 READ MORE"
Rozina Mandal,5,Worth every penny,Tq so much ❤️🥰 READ MORE
Dinesh rokkam,5,Fabulous!,"i just got mine, looking so good so far... I'll come back later for the review READ MORE"
Priyanka Prakash,5,Highly recommended,"I gifted this to my best, and she is so so happy 😊 READ MORE"
Nandish Chinnappa,5,Best in the market!,The UI is far more better than any of the phone available in the market. If your going for high budget phone Apple should your choice. The camera quality is awesome. The processor is the best one. READ MORE
ANIMESH DAS,5,Awesome,Awesome phone. No problem in using. I have purchased it from flipcart. Two months over no problem at all. Particularly in battery health issues. 100%. READ MORE
Naveen velu,5,Simply awesome,Camera is awesome READ MORE
Nithil Av,5,Simply awesome,You wont carry Dslr if you have an Iphone with you. READ MORE
Chiku Gautam,5,Best in the market!,Nice experience with I phone 13 READ MORE
Prem Bopinwar,5,Mind-blowing purchase,Value for money !! READ MORE
Shivam Pasayat,5,Perfect product!,Worth it for iphone lover. Especially i am in love with camera❤️ READ MORE
Kaushlendra Kushwaha,5,Great product,"Low light cemra performance is very awasome, 4k stability also READ MORE"
Flipkart Customer,5,Perfect product!,Switched from Android to iOS Just loved the camera performance and display in this phone😍 READ MORE
RUPESH AWARI,5,Wonderful,"After 15 years of using android, first iphone experience is very different, camera is very good, user experience is great READ MORE"
Irfan Khan,5,Brilliant,Very good experience photography iphone 13 READ MORE
DEEPANSHU SINGH,5,Excellent,"A very big thank you to Flipkart and there's bbd sale ✨❣️ , awesome product at a very awesome price Just an opinion , choose white or either blue these are the supreme of all READ MORE"
Deepak Sharran V,5,Awesome,"U may have frnds who say dont trust these online merchants on apple poducts becoz it wont come with waranty or will have charge issues ,etc.. But if u listen to it U will be missing a good oppurtunity. READ MORE"
Surabhi Khare,5,Just wow!,Ordered two phones in BBD sale.. deal is awesome 👍👍 READ MORE
Praveenkumar Kumbar,5,Terrific purchase,The best phone ever. Switch from Android to IOS after 8 years. So feels good. READ MORE
Adil  Khan,5,Excellent,It's awesome READ MORE
Asif Ahmad,5,Classy product,Just love it...it's really very early to say because it is just 10 days when I am writing this review but the camera quality is just stunning READ MORE
Alexander Thomas,5,Simply awesome,"I think its a very good product, and I feel is Android is good but an iPhone is just easy and after a certain stage in your life you want things to be easy and that’s exactly why I moved to iPhone the battery, display, OS and the camera is just something you would definitely love and enjoy. READ MORE"
Flipkart Customer,5,Super!,Awesome camera phone! But would be great if it comes with 120hz refresh rate! READ MORE
vishal   singh,5,Mind-blowing purchase,iOS is loved across globe for some reason. Loved every thing about the iPhone 13 and the startlight colour is really very nice. READ MORE
Flipkart Customer,5,Must buy!,Got iPhone 13 within 4 days excellent service by flipkart as I stay north east of India was bit sceptical however fast delivery. Hats off to the service & packaging by flipkart. Fully satisfied 👍👌 READ MORE
Inamulhaq,5,Great product,Overall performance is good. READ MORE
SONAL DEWANGAN,5,Must buy!,To be frank recently  I switch android to iphone and I swear this change will be pretty  good. I'm experienced top notch camera quality  and quite  awesome  performance  of device 👌 . READ MORE
Flipkart Customer,5,Mind-blowing purchase,"I'm very surprised by apple,what a mobile.. READ MORE"
Flipkart Customer,5,Highly recommended,"After 2 weeks of purchase, I'm writing this review in simple words. 1. The display very good. 2. The camera is fabulous. 3. Battery backup is good and will improve more with updates. 4. Even when gaming phone does not even get warm so thermals are fantastically controlled. 5. Performance is the thing I loved the most in this phone. Best in the world and 'WAY BETTER THAN ANY ANDROID GAMING PHONE' . READ MORE"
Pawan Gupta,5,Brilliant,I literally saying the camera quality is top notch ... Battery backup is more than iphone 12 or 11 ... But sometimes you will face some bugs due to update but iphone will clear after the software update ... If you thinking to buy this phone in 2022 or 2023 just go and grab this iphone 13 your money never gonna waste . Thank you 🥰 READ MORE
Md aamir  Sohail,5,Great product,Lovely READ MORE
Rupanshu Choudhary,5,Excellent,I write write review after 5 days 1:-Genuine product came 2:-Camera quality awesome 3:-Battery performance 10/10 4:-Design awesome Over all no phone to 13 series 5:- No fraud Flipkart send always genuine product READ MORE
Malhar Sompura,5,Just wow!,"What a product. Awesome. I was die hard fan of android but after buying this 13, such an amazing product by apple. Love it. Ram management is great and camera is outstanding. Such a smooth experience and time saving compared to android devices. READ MORE"
G LALITH KUMAR,5,Terrific purchase,This is my first IPHONE ever fully satisfied. Thanks to Flipkart for delivering on time READ MORE
Rahul Yadav,5,Terrific purchase,"Switch from Android to IOS---Simply Awesome. Got @47K during BBD. Battery, Speed, Camera, Display, look etc are all impressive. READ MORE"
Ashutosh Mohapatra,5,Highly recommended,1. Excellent camera 2. Powerful performance 3. Very compact design and handy to hold 4. Good battery back up 5. Display is excellent 6. Features are top notch READ MORE
Abhishek Sarkar,5,Wonderful,Fully satisfied with the experience so far. READ MORE
Shubham Mandal,5,Terrific,Original product. Got it in an exchange offer. Good deal. What more should I say about it it’s IPhone . They are the best READ MORE
Aly K,5,Brilliant,Worth it READ MORE
Jayamon V R RAMACHANDRAN,5,Classy product,Good... READ MORE
Akshay  Shetty,5,Super!,Just go for it! READ MORE
Suresh,5,Best smartphone,First time iPhone user. Really good. READ MORE
Flipkart Customer,5,Super!,"Beautiful product. if you can afford, please go for it. They could have added finger print also. READ MORE"
Mohnish Chawda,5,Great product,First of all Flipkart delivered 3 days before the expected delivery. Kudos for that. I have just started using iPhone 13. Will review in few days. READ MORE
Nothing Name,5,Great product,"Amazing experience of this iPhone because iPhone 13 camera quality so creative and size is very good and handy, battery backup is so good now I am so happy to use this phone and I suggest to all for purchase this phone READ MORE"
Shilpa Jagadeesh,4,Value-for-money,Super READ MORE
Tauqeer alam,5,Highly recommended,"Nothing to say about this device its an Apple product, Camera is top notch! READ MORE"
Ajay Kumar,4,Very Good,"Awesome purchased starlight  white Battery: okay, easily last one day after Normal uses. Display:good not like super amoled Design:good. Performed: excellent. Front camera excellent but selfie very bad in low light condition. Flipkart  delivery was late but found the phone on good condition. Delivery agent was very nice. He did open box delivery and exchanged my old Vivo on good price. Thanks Flipkart. READ MORE"
Flipkart Customer,4,Good choice,I love this phone READ MORE
Aditya Utpal,4,Very Good,Camera is at flagship level Low battery performance but better than Android Overall performance is top notch. READ MORE
Flipkart Customer,4,Good choice,Nice product with good quality sensor and 5G is making toppings on my red velvet READ MORE
Rajan,4,Wonderful,Awesome experience READ MORE
Soumya Subhra Mahata,4,Good choice,Awesome Purchase READ MORE
Raja Namburi,4,Worth the money,"After 10 years of android usage couple of days back switched to IOS, so far no complaints will post my complete review in 3 months. READ MORE"
Anthu T,4,Wonderful,"Good and perfect mobile, I’m android user now i shifted to iOS decent mobile with full pack performance worth for money Thank you Flipkart READ MORE"
ishaq palagiri,5,Terrific purchase,Premium quality best ever from iphone READ MORE
Pinakin Patel,5,Fabulous!,"Superb Mobile Amazing Purchase,  It's really wow experience. No any premium Android ( even higher mga pixel) camera in comparison with iPhone camera. Last 12 years I was using only Android phone. Initially I am facing issue with operating system. But now it's feel very easy and best OS. Also phone having very good feature and security system. Also thanks to Flipkart for good customer care service. READ MORE"
Jaykrishna Rout,5,Classy product,Good READ MORE
Flipkart Customer,5,Just wow!,Good READ MORE
Prodyut Das,5,Fabulous!,"The camera, processor are very good but you will have to consider a lot of things if you're switching to an iPhone for the first time. READ MORE"
Subhamay Dakua,5,Must buy!,Very classy product 🫶🏻🫶🏻 READ MORE
Shital kumar,5,Awesome,"I became first user of I phone. Let's start with the design. One of many things that a lot of people, including me, love about Apple's iPhones is the familiarity that they bring to the table year-on-year while being ingenious enough to make subtle changes in the design. Heavy HDR camera performance. READ MORE"
Atharv Gambhir,4,Worth the money,A mobile phone is very good and it's camera quality is very good and nice 😊🙂 love it READ MORE
Nishant Rathee,4,Delightful,Camera quality is superb. READ MORE
Karthikeyan,4,Good choice,good READ MORE
